A,:85
B,:459
C,:321
D,:2005
E,:633
F,:291
J,:66
L,:128
K,:128
M,:128
N,:11
I,:4
A,B,:4
A,C,:4
A,D,:4
A,E,:4
A,F,:4
A,J,:4
A,L,:4
A,K,:4
A,M,:4
A,N,:3
B,C,:4
B,D,:4
B,E,:4
B,F,:4
B,J,:4
B,L,:4
B,K,:4
B,M,:4
B,N,:3
C,D,:4
C,E,:4
C,F,:4
C,J,:4
C,L,:4
C,K,:4
C,M,:4
C,N,:3
D,E,:4
D,F,:4
D,J,:4
D,L,:4
D,K,:4
D,M,:4
D,N,:3
E,F,:4
E,J,:4
E,L,:4
E,K,:4
E,M,:4
E,N,:3
F,J,:4
F,L,:4
F,K,:4
F,M,:4
F,N,:3
J,L,:4
J,K,:4
J,M,:4
J,N,:3
L,M,:4
L,N,:3
K,L,:4
K,M,:4
K,N,:3
M,N,:3
A,I,:2
B,I,:2
C,I,:2
D,I,:2
E,I,:2
F,I,:2
I,J,:2
I,L,:2
I,K,:2
I,M,:2
I,N,:2
A,B,C,:4
A,B,D,:4
A,B,E,:4
A,B,F,:4
A,B,J,:4
A,B,L,:4
A,B,K,:4
A,B,M,:4
A,B,N,:3
A,C,D,:4
A,C,E,:4
A,C,F,:4
A,C,J,:4
A,C,L,:4
A,C,K,:4
A,C,M,:4
A,C,N,:3
A,D,E,:4
A,D,F,:4
A,D,J,:4
A,D,L,:4
A,D,K,:4
A,D,M,:4
A,D,N,:3
A,E,F,:4
A,E,J,:4
A,E,L,:4
A,E,K,:4
A,E,M,:4
A,E,N,:3
A,F,J,:4
A,F,L,:4
A,F,K,:4
A,F,M,:4
A,F,N,:3
A,J,L,:4
A,J,K,:4
A,J,M,:4
A,J,N,:3
A,L,M,:4
A,L,N,:3
A,K,L,:4
A,K,M,:4
A,K,N,:3
A,M,N,:3
B,C,D,:4
B,C,E,:4
B,C,F,:4
B,C,J,:4
B,C,L,:4
B,C,K,:4
B,C,M,:4
B,C,N,:3
B,D,E,:4
B,D,F,:4
B,D,J,:4
B,D,L,:4
B,D,K,:4
B,D,M,:4
B,D,N,:3
B,E,F,:4
B,E,J,:4
B,E,L,:4
B,E,K,:4
B,E,M,:4
B,E,N,:3
B,F,J,:4
B,F,L,:4
B,F,K,:4
B,F,M,:4
B,F,N,:3
B,J,L,:4
B,J,K,:4
B,J,M,:4
B,J,N,:3
B,L,M,:4
B,L,N,:3
B,K,L,:4
B,K,M,:4
B,K,N,:3
B,M,N,:3
C,D,E,:4
C,D,F,:4
C,D,J,:4
C,D,L,:4
C,D,K,:4
C,D,M,:4
C,D,N,:3
C,E,F,:4
C,E,J,:4
C,E,L,:4
C,E,K,:4
C,E,M,:4
C,E,N,:3
C,F,J,:4
C,F,L,:4
C,F,K,:4
